Id,Name,BvD,Country_Id,TURN,P/L_bef_tax,Net_inc,CF,TASS,EC,Ratio,Prof_marg,ROE,ROCE,Solvency,EM,point,Cluster
EASIN_20,ACT HOCHLEISTUNGSKUNSTSTOFFTECHNIK GESELLSCHAFT M.B.H.,AT9150001048,AT,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,4.353358345526591,3.327767489902729,-0.22470534192053024,0.11033107358492986,0.0709951307856066,0.03952719974683155,-0.11124606179419641,1.662757831681574,"(48.2083537, 16.3725042, 0.0)",-1
EASIN_21,ADAC HELISERVICE GMBH,DE5030189361,DE,4.744058165878836,-0.05042680818341725,-0.04827384761496692,3.212986184736668,4.4363535037706585,4.2383974131812705,-0.005350374547555283,0.13342396724868907,0.07458012839920514,0.06715023216783379,1.1109818039145019,2.220108088040055,"(50.7752776, 7.1895507, 0.0)",-1
EASIN_22,ADI AEROTUBE,FR442907085,FR,3.40671045860979,-0.05201230943585071,-0.049394842499725825,2.747411807886423,3.667359546183087,3.467756051244033,-0.05274187984418568,1.45415984717215,0.306226128047111,0.03952719974683155,1.1037603689620132,1.2304489213782739,"(43.3861879, -0.3541989, 0.0)",-1
EASIN_23,ADLER AERO S.P.A.,IT06131200633,IT,4.245167068822079,-0.05571648935304038,-0.052332622197714694,2.780677274433368,4.541004796780919,2.2174839442139063,-0.284283234293437,0.04638152190067351,0.13072670640910233,0.020336461433293155,-0.782237726129597,2.3201462861110542,"(40.8358846, 14.2487679, 0.0)",2
EASIN_24,ADRIA AIR SERVICE S.R.L.,IT00416010312,IT,2.537819095073274,-0.054982201162385363,-0.05171414226129598,2.1903316981702914,3.387567779417189,3.207095540419218,-0.38448241692059837,2.3174787949096105,0.12223301975534578,0.10989324022980569,1.1895149090228154,1.7558748556724915,"(45.8278081, 13.5018454, 0.0)",8
EASIN_25,ADVANCED SPACE POWER EQUIPMENT GMBH,DE7130121530,DE,3.8547916940539855,-0.053116080219255714,-0.050151375993380855,2.808210972924222,4.1365620365899805,3.5476516583599693,-0.12044403026794337,0.11033107358492986,0.18113728823724184,0.09375557392069385,-0.020978124888088718,1.9590413923210936,"(53.6563082, 10.8253152, 0.0)",-1
EASIN_26,AE AEROSPACE LTD,GB03286967,GB,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,3.8367037990897312,3.2412973871099933,-0.25855641713240907,0.11033107358492986,0.0709951307856066,0.03952719974683155,-0.032712956685882734,1.8325089127062364,"(52.4796992, -1.9026911, 0.0)",9
EASIN_27,AEC AUTOMOTIVE EQUIPMENT CONTRACTOR S.R.L.,RO25658690,RO,3.5703093854358796,-0.05798483185283457,-0.055010861208099275,0.0,3.3068537486930087,1.1139433523068367,-0.13127637433574463,-0.5153975258811617,0.0709951307856066,-0.4941788635031643,-0.7783261155303323,1.5440680443502757,"(45.6523093, 25.6102746, 0.0)",10
EASIN_28,AEI SYSTEMS LIMITED,GB04462335,GB,3.8547916940539855,-0.05569778137366064,-0.05228292291710962,2.780677274433368,3.6996643202023733,3.1571544399062814,-0.24501598704765754,0.11033107358492986,0.0709951307856066,0.03952719974683155,0.06567909454177465,1.2787536009528289,"(51.5073219, -0.1276474, 0.0)",0
EASIN_29,AEM LIMITED,GB00620201,GB,4.495627580906491,-0.04046948615854753,-0.04677734705452522,3.4643404846276673,4.422507765868076,4.315865430736779,-0.0310771917085832,0.506907112849103,0.17617344538764385,0.21849537295869342,1.5575071984767146,2.2528530309798933,"(52.6362, -1.1331969, 0.0)",11
